timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
41:27.9,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",1.99567,0.05781652,1.149333,"Direction(x,y,z):",-0.7340962,-0.368665,-0.5702533
41:27.9,LOCATION,user_Mileranu,paper715,"ORIGIN(x,y,z):",-1.694469,-0.03166177,0.9672604,"Direction(x,y,z):",0.9407622,-0.2380724,-0.2414293
41:28.0,LOCATION,user_Mileranu,metal,"ORIGIN(x,y,z):",-1.695808,-0.03147553,0.9680422,"Direction(x,y,z):",0.9410609,-0.2378741,-0.2404583
41:28.1,LOCATION,user_Mileranu,paper715,"ORIGIN(x,y,z):",-1.697057,-0.0315059,0.9690976,"Direction(x,y,z):",0.9407699,-0.2386592,-0.2408189
41:28.2,LOCATION,user_Lufohaelae,glass,"ORIGIN(x,y,z):",1.988092,0.0364733,1.132706,"Direction(x,y,z):",-0.6377154,-0.531976,-0.5570644
41:28.3,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-1.698118,-0.03305514,0.9703304,"Direction(x,y,z):",0.9358801,-0.2588833,-0.2389729
41:28.4,LOCATION,user_Mileranu,metal718,"ORIGIN(x,y,z):",-1.699117,-0.03450574,0.9689684,"Direction(x,y,z):",0.931932,-0.2693343,-0.2428206
41:28.6,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-1.706173,-0.03747122,0.9649823,"Direction(x,y,z):",0.915953,-0.2988496,-0.2678039
41:29.5,LOCATION,user_Mileranu,floor,"ORIGIN(x,y,z):",-2.016107,-0.04494832,1.013286,"Direction(x,y,z):",0.8336399,-0.3530567,-0.4247299
41:29.8,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.065098,-0.03622248,1.058768,"Direction(x,y,z):",0.8264591,-0.3272056,-0.4581506
41:30.1,LOCATION,user_Mileranu,Trash721,"ORIGIN(x,y,z):",-2.108102,-0.03679212,1.184341,"Direction(x,y,z):",0.7377872,-0.272839,-0.6174374
41:30.2,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.10767,-0.03616261,1.207779,"Direction(x,y,z):",0.7234336,-0.2774021,-0.632212
41:30.4,LOCATION,user_Mileranu,metal718,"ORIGIN(x,y,z):",-2.107431,-0.03721303,1.247924,"Direction(x,y,z):",0.7082438,-0.2884837,-0.6443351
